Company,Title,URL
Unknown,"SigNoz (YC W21, open source Datadog) Is Hiring across roles",https://signoz.io/careers
Unknown,Multifactor (YC F25) Is Hiring an Engineering Lead,https://www.ycombinator.com/companies/multifactor/jobs/lcpd60A-engineering-lead
Unknown,Stardex (YC S21) is hiring customer success engineers,https://www.ycombinator.com/companies/stardex/jobs/lag1C1P-customer-success-engineer-ai-data-migration
Unknown,Structured AI (YC F25) Is Hiring,https://www.ycombinator.com/companies/structured-ai/jobs/3cQY6Cu-mechanical-design-engineer-founding-team-consultant
Unknown,Roboflow (YC S20) Is Hiring a Security Engineer for AI Infra,https://roboflow.com/careers
Unknown,Jiga (YC W21) Is Hiring,https://jiga.io/about-us
Unknown,Reflex (YC W23) Is Hiring Software Engineers â€“ Python,https://www.ycombinator.com/companies/reflex/jobs
Unknown,Kyber (YC W23) Is Hiring an Enterprise Account Executive,https://www.ycombinator.com/companies/kyber/jobs/59yPaCs-enterprise-account-executive-ae
Ubicloud (YC W24),"Software Engineer â€“ $95-$250K in Turkey, Netherlands, CA",https://www.ycombinator.com/companies/ubicloud/jobs/j4bntEJ-software-engineer
LiteLLM (YC W23),Founding Reliability Engineer â€“ $200K-$270K and 0.5-1.0% equity,https://www.ycombinator.com/companies/litellm/jobs/unlCynJ-founding-reliability-performance-engineer
Unknown,Bild AI (YC W25) Is Hiring Interns to Make Housing Affordable,https://www.workatastartup.com/jobs/80596
Unknown,Hightouch (YC S19) Is Hiring,https://hightouch.com/careers#open-positions
Unknown,Trellis AI (YC W24) is hiring deployment lead to accelerate medication access,https://www.ycombinator.com/companies/trellis-ai/jobs/7ZlvQkN-lead-deployment-strategist
Unknown,Event Horizon Labs (YC W24) Is Hiring,https://www.ycombinator.com/companies/event-horizon-labs/jobs/xGQicps-founding-infrastructure-engineer
Unknown,Corgi Labs (YC W23) Is Hiring,https://www.ycombinator.com/companies/corgi-labs/jobs/ZiEIf7a-founders-associate
Unknown,Verge (YC S15) Is Hiring a Director of Computational Biology and AI Scientists/Eng,https://jobs.ashbyhq.com/verge-genomics
Unknown,SIM (YC X25) Is Hiring the Best Engineers in San Francisco,https://www.ycombinator.com/companies/sim/jobs/Rj8TVRM-software-engineer-platform
Unknown,Hadrius (YC W23) Is Hiring Designers Who Code,https://www.ycombinator.com/companies/hadrius/jobs/ObynDF9-senior-product-designer
Unknown,Bitmovin (YC S15) Is Hiring Interns in AI for Summer 2026 in Austria,https://bitmovin.com/careers/8023403002/
Unknown,Padlet (YC W13) Is Hiring in San Francisco and Singapore,https://padlet.jobs
